Titulo                      Autor                        Año

El Arte de la Guerra        Sun Tzu                      Siglo 5(1772)
La Iliada                   Homero                       Siglo 8(1882)
La odisea                                                       (1851)
100 Años de Soledad         Gabriel Garcia Marquez       1967
Hamlet                      William Shakespeare          1603
Moby Dick                   Herman Melville              1851
Cenicienta                  Basile Giambattista          1634
Los Miserables              Victor Hugo                  1862
Orgullo y Prejuicio         Jane Austen                  1813
Los Tres mosqueteros        Alexandre Dumas              1844
Crimen y Castigo            Fiodor Dostoievski           1866
Ulises                      James Joyce                  1922
El Principito               Antoine de Saint Exupery     1943
Sherlock Holmes             Sir Arthur Conan Dayle       1887-1915
Dracula                     Bram Stoker                  1897
Frankenstein                Mary Shelley                 1818
The Secret Garden           Hodgson Burnett              1911
The Tale of Genji           Murasaki Shikibu             1021


Ocho Millones de Dioses     David B Gil                  2019
Las Mil y una Noches        "Anonimo"                    1853
El Cuento de la Criada      Margaret Atwood              1985
Cumbres borrascosas         Emily Brontë                 1847
1984                        George Orwell                1947
La Divina comedia           Dante Alighieri              1304-1321
